Date,Leader Price,Follower Price,Cost
130,1.715351,1.785852,1
129,1.715351,1.846364,1
128,1.715351,1.767364,1
127,1.715351,1.800372,1
126,1.715351,1.803767,1
125,1.715351,1.803762,1
124,1.715351,1.764823,1
123,1.715351,1.773224,1
122,1.715351,1.832883,1
121,1.715351,1.775181,1
120,1.715351,1.786932,1
119,1.715351,1.788089,1
118,1.715351,1.778049,1
117,1.715351,1.77509,1
116,1.715351,1.765768,1
115,1.715351,1.81497,1
114,1.715351,1.791508,1
113,1.715351,1.762611,1
112,1.715351,1.761916,1
111,1.715351,1.812892,1
110,1.715351,1.77001,1
109,1.715351,1.835828,1
108,1.715351,1.775499,1
107,1.715351,1.81106,1
106,1.715351,1.817784,1
105,1.715351,1.829478,1
104,1.715351,1.795896,1
103,1.715351,1.764765,1
102,1.715351,1.757955,1
101,1.715351,1.830891,1
