Date,Leader Price,Follower Price,Cost,
130,1.745351,1.790479,1,
129,1.745351,1.851262,1,
128,1.745351,1.771909,1,
127,1.745351,1.805064,1,
126,1.745351,1.808475,1,
125,1.745351,1.80847,1,
124,1.745351,1.769357,1,
123,1.745351,1.777795,1,
122,1.745351,1.837721,1,
121,1.745351,1.779761,1,#
120,1.745351,1.791564,1,
119,1.745351,1.792726,1,
118,1.745351,1.782641,1,
117,1.745351,1.779669,1,
116,1.745351,1.770306,1,
115,1.745351,1.819727,1,
114,1.745351,1.796161,1,
113,1.745351,1.767135,1,
112,1.745351,1.766436,1,
111,1.745351,1.817641,1,
110,1.745351,1.774567,1,
109,1.745351,1.840679,1,
108,1.745351,1.78008,1,
107,1.745351,1.8158,1,
106,1.745351,1.822554,1,
105,1.745351,1.8343,1,
104,1.745351,1.800568,1,
103,1.745351,1.769299,1,
102,1.745351,1.762458,1,
101,1.745351,1.83572,1,
